input,aproveitamento
input_0,0.9121962989230173
input_1,0.9032397218708644
input_2,0.9452515518640647
input_3,0.887103260194047
input_4,0.8667992483786767
input_5,0.9290127293066512
input_6,0.9107120661543748
input_7,0.8793750137090465
input_8,0.9169048994304348
input_9,0.9655921211367907
input_10,0.9294075498460931
input_11,0.9128835791213049
input_12,0.9463117181273808
input_13,0.7761733115938321
input_14,0.8269589313524066
input_15,0.9653215959523583
input_16,0.9382690775091211
input_17,0.8425031622200613
input_18,0.8863209306066344
input_19,0.9436795811977685
input_20,0.9235364221947635
input_21,0.8989113189199465
input_22,0.9311988652565237
input_23,0.9397825562436481
input_24,0.9463117181273808
input_25,0.9154864700850327
input_26,0.8599995613105117
input_27,0.9624043108553714
input_28,0.9478178853704368
input_29,0.952263272184893
input_30,0.9511007450409809
input_31,0.9418078393811553
input_32,0.8702575838445284
input_33,0.9031739184476242
input_34,0.8615276630279811
input_35,0.9305700769900052
input_36,0.8833524650693495
input_37,0.9280256779580467
input_38,0.9522705836763642
input_39,0.9095056700616359
input_40,0.8190332745976852
input_41,0.9273676437256436
input_42,0.8922724846641467
input_43,0.960115814024903
input_44,0.8939468162110389
input_45,0.9498797259652997
input_46,0.9440159098054413
input_47,0.8420937186976771
input_48,0.9038100182056138
input_49,0.893902947262212
input_50,0.9221253043408325
input_51,0.9044388064721323
input_52,0.8785707496472205
input_53,0.9547199333191978
input_54,0.9154426011362058
input_55,0.9512323518874615
input_56,0.9275869884697779
input_57,0.8836961051684933
input_58,0.9604594541240468
input_59,0.8564242419811218
input_60,0.9616219812679588
input_61,0.7945836471181756
input_62,0.9173435889187035
input_63,0.9294733532693334
input_64,0.9022380475393176
input_65,0.9500259557947226
input_66,0.8967544289359587
input_67,0.8602042830717038
input_68,0.933633591916415
input_69,0.9641225113510905
input_70,0.9585511548500779
input_71,0.9374063215155259
input_72,0.8735185090406592
input_73,0.896973773680093
input_74,0.8469851064918733
input_75,0.9588728604748082
input_76,0.8906858910149081
input_77,0.9298827967917176
input_78,0.9698474091729972
input_79,0.8936397335692507
input_80,0.9009658480233382
input_81,0.9029253277376051
input_82,0.9168756534645502
input_83,0.9575202345526463
input_84,0.9560433132754751
input_85,0.8547645334171717
input_86,0.9045631018271417
input_87,0.9452296173896513
input_88,0.9286764006989786
input_89,0.9248963596083966
input_90,0.9004321091459446
input_91,0.9293783038802085
input_92,0.8502387201965329
input_93,0.8643060297870162
input_94,0.9097030803313568
input_95,0.9078313385147436
input_96,0.9210724495689876
input_97,0.9231123556894371
input_98,0.9534769797691031
input_99,0.9233170774506292
