input,aproveitamento
input_0,0.2803664519525338
input_1,0.1184900307813791
input_2,0.3800513266701274
input_3,0.1286018234859729
input_4,0.09545883264727172
input_5,0.1577527399814288
input_6,0.1357012817044549
input_7,0.05790701245146997
input_8,0.43759276454804014
input_9,0.1569411644281317
input_10,0.09733057446388489
input_11,0.36931805719048627
input_12,0.718514889852381
input_13,0.16547367497495813
input_14,0.15478427444414386
input_15,0.32340189075169445
input_16,0.23747724298279607
input_17,0.08493028492882262
input_18,0.2325492977312442
input_19,0.04643528233324316
input_20,0.09668716321442411
input_21,0.13897682988352794
input_22,0.17962872246309525
input_23,0.05001060166263316
input_24,0.18477601245878147
input_25,0.10089858230180375
input_26,0.05685415767962507
input_27,0.3773022058769768
input_28,0.22782607424088439
input_29,0.4542629651022512
input_30,0.21843811919193395
input_31,0.1483209159836515
input_32,0.2815801595367439
input_33,0.27698854289286473
input_34,0.08612936953009044
input_35,0.12447083080477586
input_36,0.16284153804534587
input_37,0.032229054404808034
input_38,0.10036484342441014
input_39,0.09499089719311843
input_40,0.14827704703482464
input_41,0.1354453795029648
input_42,0.2515884215221063
input_43,0.31489131467928144
input_44,0.3574441950413465
input_45,0.04556521484817688
input_46,0.26979403528525786
input_47,0.1695096182670303
input_48,0.07600295384255434
input_49,0.21393424044570852
input_50,0.20709068442871661
input_51,0.02210995020874308
input_52,0.15503286515416279
input_53,0.19931125750341813
input_54,0.17598759971046493
input_55,0.26953082159229663
input_56,0.19372527801946318
input_57,0.1064553158198741
input_58,0.28756095956014066
input_59,0.13849427144643237
input_60,0.3767465325251698
input_61,0.09080872407162337
input_62,0.12275994180052789
input_63,0.9294733532693334
input_64,0.12252597407345124
input_65,0.18574112933297263
input_66,0.3574441950413465
input_67,0.021758998618128113
input_68,0.19787089368360253
input_69,0.20175329565478062
input_70,0.25619466114892775
input_71,0.15753339523729445
input_72,0.22754823756498088
input_73,0.053476248619955986
input_74,0.1737210373544099
input_75,0.07463570493745018
input_76,0.18253869606861103
input_77,0.2434726659891351
input_78,0.426757134187803
input_79,0.06997097337885955
input_80,0.2658019609420126
input_81,0.1544186998705866
input_82,0.1653859370773044
input_83,0.5134421770697004
input_84,0.07126510736925225
input_85,0.2663064538535216
input_86,0.21934474413435598
input_87,0.3384050712504844
input_88,0.4813520410028442
input_89,0.41271907056320417
input_90,0.07527911618691097
input_91,0.18404486331166695
input_92,0.1929502599235218
input_93,0.15852044658589906
input_94,0.2378866865051802
input_95,0.27309882943021546
input_96,0.32709419394462275
input_97,0.2275701720393943
input_98,0.15437483092175974
input_99,0.4323723596376425
