input,aproveitamento
input_0,0.17589255032134005
input_1,0.15161108714566685
input_2,0.4560615920041529
input_3,0.23379956277281003
input_4,0.14318824897090757
input_5,0.5063573418341607
input_6,0.3799635887724737
input_7,0.585124039452808
input_8,0.7112618903130049
input_9,0.1918169787454943
input_10,0.363410372081801
input_11,0.41548281433929707
input_12,0.9251961307587134
input_13,0.22063156663327751
input_14,0.27861169399945895
input_15,0.7007040966286713
input_16,0.5635478281214585
input_17,0.20175329565478062
input_18,0.43925978460346127
input_19,0.5460952979798349
input_20,0.21478237345636136
input_21,0.22846948549034518
input_22,0.07574705164106427
input_23,0.5235320352998808
input_24,0.6244744865505114
input_25,0.7580554357283342
input_26,0.1326597012524585
input_27,0.8624050420045185
input_28,0.4630806238164523
input_29,0.7722470406738271
input_30,0.3906091203544611
input_31,0.7390455579033567
input_32,0.9627040820056884
input_33,0.5764379875850875
input_34,0.5594607043890883
input_35,0.10668928354695074
input_36,0.4172814412411988
input_37,0.23281251142420542
input_38,0.3297701998230619
input_39,0.4096263096709098
input_40,0.41456156641393277
input_41,0.24380168310533665
input_42,0.49446154521060753
input_43,0.6904241396202412
input_44,0.9191422158206053
input_45,0.14121414627369838
input_46,0.5395880705705157
input_47,0.2663722572767619
input_48,0.1428372973802926
input_49,0.5638037303229486
input_50,0.9319080799292248
input_51,0.08843980083497233
input_52,0.31006573030832557
input_53,0.39675077319022306
input_54,0.2951502877071894
input_55,0.2545568870593912
input_56,0.15371679668935667
input_57,0.2661382895496852
input_58,0.38341461274685423
input_59,0.257364499784311
input_60,0.15149410328212853
input_61,0.2043196291611526
input_62,0.36452171878541506
input_63,0.6196489021795556
input_64,0.7221560126050113
input_65,0.712175826746898
input_66,0.9531845201102573
input_67,0.23952446059471671
input_68,0.37375613251347145
input_69,0.48997228944732435
input_70,0.46115039006806996
input_71,0.3150667904745889
input_72,0.32506891080711553
input_73,0.12477791344656397
input_74,0.2684779668204517
input_75,0.14927140987490037
input_76,0.6997316682630089
input_77,0.8433074262818873
input_78,0.433205869665353
input_79,0.7468249848286552
input_80,0.6031980463694789
input_81,0.21618617981882124
input_82,0.6462992885918799
input_83,0.7059829934708381
input_84,0.26058155603161487
input_85,0.47343369573959393
input_86,0.43868948826871196
input_87,0.38495002595579475
input_88,0.14155047488137104
input_89,0.2600551286456924
input_90,0.10350878475700258
input_91,0.2370970454262965
input_92,0.24449627479509545
input_93,0.3522676590797757
input_94,0.7342930884471123
input_95,0.5071835403704001
input_96,0.1947781327913081
input_97,0.4096263096709098
input_98,0.44597173377397253
input_99,0.22702181017905843
