input,aproveitamento
input_0,0.8842444670288292
input_1,0.9684801602678931
input_2,0.9133734490498717
input_3,0.9054624152780926
input_4,0.9470063098171396
input_5,0.9168537189901368
input_6,0.8873299164296525
input_7,0.9367482872831229
input_8,0.9507863509077217
input_9,0.9011486353101169
input_10,0.8791629804563833
input_11,0.9128543331554204
input_12,0.9251961307587134
input_13,0.7973912598430954
input_14,0.8292986086231731
input_15,0.94209298754853
input_16,0.9278355791797969
input_17,0.8391910565836325
input_18,0.920743432452786
input_19,0.8731017540268039
input_20,0.9696207529373917
input_21,0.8929743878453765
input_22,0.8615422860109234
input_23,0.829444838452596
input_24,0.9361048760336621
input_25,0.921145564483699
input_26,0.8422253255441577
input_27,0.9515906149695477
input_28,0.8866060787740091
input_29,0.8716833246814017
input_30,0.9210139576372184
input_31,0.9575714149929444
input_32,0.9627040820056884
input_33,0.8384014155047488
input_34,0.9237265209730133
input_35,0.9239824231745034
input_36,0.9033567057344027
input_37,0.8917899262270511
input_38,0.8290573294046253
input_39,0.943599154791586
input_40,0.8667773139042634
input_41,0.9450322071199304
input_42,0.9075608133303112
input_43,0.9168756534645502
input_44,0.9191422158206053
input_45,0.8444333959684436
input_46,0.8774667144350776
input_47,0.8629607153563256
input_48,0.8755657266525798
input_49,0.9493532985793772
input_50,0.9319080799292248
input_51,0.9224762559314474
input_52,0.8901887095948703
input_53,0.9436137777745283
input_54,0.9044607409465457
input_55,0.9072829766544077
input_56,0.8611474654714816
input_57,0.961424570998238
input_58,0.9094033091810398
input_59,0.8984068260084375
input_60,0.8505896717871478
input_61,0.9363169092863253
input_62,0.9478910002851482
input_63,0.9553925905345432
input_64,0.8909637276908117
input_65,0.9602547323628547
input_66,0.9531845201102573
input_67,0.9229003224367739
input_68,0.9482200174013496
input_69,0.8863209306066344
input_70,0.9094033091810398
input_71,0.9238288818536093
input_72,0.8930694372345015
input_73,0.8666749530236673
input_74,0.845968809177384
input_75,0.9298462393343618
input_76,0.9508740888053754
input_77,0.895511475385864
input_78,0.9202828084901039
input_79,0.9229515028770718
input_80,0.9155449620168018
input_81,0.9064714011011106
input_82,0.9206630060466034
input_83,0.9337725102543668
input_84,0.9437892535698357
input_85,0.907597370787667
input_86,0.9126496113942283
input_87,0.9052942509742562
input_88,0.8649348180535348
input_89,0.9082334705456566
input_90,0.8840397452676372
input_91,0.8062235415402388
input_92,0.9505085142318181
input_93,0.9220814353920056
input_94,0.975981750517288
input_95,0.8368586908043372
input_96,0.8887995262153526
input_97,0.9641298228425617
input_98,0.9254812789260881
input_99,0.924464981611599
